NR_INWENT;NAZWA;REGION;GMINA;WLASCICIEL;DLUGOSC;GLEBOKOSC;PRZEWYZSZE;DENIWELACJ;OSUWISKOWA;X_1992;Y_1992;ID;ROK_AKTUAL;CPU
J.Olk.I-10.12;Schronisko na Zakręcie;Wyżyna Śląsko-Krakowska;Krzeszowice (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);7;0;0;0;0;545293.37;257492.84;10877;2015
T.E-11.64;Szczelina nad Ptasią;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;25;0;9.4;9.4;0;565871.78;152783.32;1545;2010
T.E-11.56;Kobylarzowa Szczelina;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;12;0;4.8;4.8;0;566235.78;153382.73;1524;2010
T.E-12.31;Jaskinia pod Strzelistą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;41;13;0;13;0;566838.67;153453.65;1566;2010
T.E-11.27;Górne Kominy;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;39;0;30;30;0;565517.27;152958.9;1518;2010
T.E-13.32;Schron pod Mnichem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3.5;0;0;0;0;567432.31;153613.34;11059;2017
J.Olk.I-09.51;Schronisko na Wylot;Wyżyna Śląsko-Krakowska;Olkusz (gm. miejsko-wiejska);Prywatny;4.5;0;1.1;1.1;0;546372.81;261581.17;11110;2017
T.E-11.45;Dziura nad Szlakiem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;11;0;6.2;6.2;0;566122.09;153334.75;1508;2010
K.Pc-01.13;Mokra Dziura;Karpaty;Ciężkowice (gm. miejsko-wiejska);Prywatny;6;0;0;0;0;642791.65;214026.89;3028;2015
T.E-11.22;Dziura w Kominie;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3;0;0;0;0;565293.54;153102.9;1503;2010
T.E-12.41;Jaskinia w Trawie;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;10;5;0;5;0;566551.94;152956.25;1578;2010
T.E-11.34;Bliźniaczy Komin;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;40;0;13.5;13.5;0;565932.49;153134.79;1528;2010
T.E-11.40;Schron nad Kominami;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;9;0;7.5;7.5;0;565457.33;152957.29;1496;2010
T.E-12.25;Ukryta Dziura;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;32;8;0;8;0;566945.12;153185.64;1560;2010
N-2.21;Tunel w Skorocicach;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Skarb Państwa;18;0;3;3;0;618715.65;285081.26;698;2013
T.E-12.06;Jaskinia nad Kotlinami;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;1465;433.5;0;433.5;0;567047.78;152839.85;493;2013
T.E-11.08;Jaskinia pod Dachem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;104;66;0;66;0;565901.86;152969.05;1477;2013
P-02.09;Schronisko w Borsukowej Skale II;Pieniny;Nowy Targ (gm. wiejska);Skarb Państwa (Lasy Państwowe);3.4;0;0;0;1;584831.14;173148.92;417;2020
G-1.8;Prochownia;Region Świętokrzyski;Kielce (gm. miejska);Komunalny;172;0;12.5;12.5;0;613876.08;334060.39;676;2013
P-01.04;Jaskinia w Szaflarach;Pieniny;Szaflary (gm. wiejska);Prywatny;43;6;0;6;0;573583.46;175036.88;409;2020
T.E-12.05;Jasny Awen;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;115;61;0;61;0;567044.44;152864.51;494;2013
K.Bw-02.32;Schronisko z Lisem;Karpaty;Łukowica (gm. wiejska);Skarb Państwa (Lasy Państwowe);2;0;0;0;1;606173.49;197970.13;10635;2014
K.Bs-02.73;Jaskinia nad Szlakiem;Karpaty;Milówka (gm. wiejska);Skarb Państwa (Lasy Państwowe);11;0;0;0;0;499242.35;190005.13;10695;2015
J.Olk.I-01.23;Schronisko w Imbramowicach I;Wyżyna Śląsko-Krakowska;Trzyciąż (gm. wiejska);Prywatny;12;2;0;2;0;559684.76;271280.58;10901;2014
T.E-12.64;Jaskinia Wilcza;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;54.7;16;0;16;0;567243.73;153050.03;495;2013
G-1.21;Piotrusiowa Jama;Region Świętokrzyski;Kielce (gm. miejska);Komunalny;2;0;0;0;0;613798.59;334027.8;689;2013
J.Cz.IV-04.107;Schronisko Ciasne w Podcisowiu;Wyżyna Śląsko-Krakowska;Pilica (gm. miejsko-wiejska);Prywatny;17.5;1.2;0;1.2;0;550731.33;286769.24;2593;2013
G-1.25;Komin Geologów;Region Świętokrzyski;Kielce (gm. miejska);Komunalny;11;10;0;10;0;613741.99;333933.88;693;2013
N-2.10;Schronisko w Chwałowicach;Niecka Nidziańska;Pińczów (gm. miejsko-wiejska);Prywatny;2.5;0;0;0;0;614700.36;300870.07;664;2013
T.D-08.56;Jaskinia pod Murem;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;14;4.4;0;4.4;0;562542.88;153621.91;1164;2010
N-2.25;Schronisko w Zielonej Górze;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Skarb Państwa;2;0;1;1;0;618697.31;285019.06;702;2013
N-22Ex;Jaskinia w Marzęcinie;Niecka Nidziańska;Pińczów (gm. miejsko-wiejska);;0;0;0;0;0;613904.14;290380.94;795;2013
S.I-03.14;Jaskinia Warszawiaków (S-1.10);Sudety;Stronie Śląskie (gm. miejsko-wiejska);Prywatny;76;0;12.5;12.5;0;347765.08;270513.37;3896;2014
T.E-12.01;Jaskinia Wielka Litworowa;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;7185;354;16;370;0;566560.77;152688.83;491;2013
J.Olk.I-01.31;Skalny Most w Gołyszynie;Wyżyna Śląsko-Krakowska;Skała (gm. miejsko-wiejska);Prywatny;12;0;5;5;0;566442.45;267831.59;10909;2014
N-2.23;Szczelina w Skorocicach;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Skarb Państwa;16;4;0;4;0;618695.92;285080.81;700;2013
T.E-11.21;Jaskinia za Płytą;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;62;27;0;27;0;566203.59;153276.91;1502;2010
G-1.26;Jaskinia Urwista na Kadzielni;Region Świętokrzyski;Kielce (gm. miejska);Komunalny;18;2;1;3;0;613741.99;333933.88;694;2013
N-2.24;Szczelina Magdaleny;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Skarb Państwa;2;0;1.1;1.1;0;618715.65;285081.26;701;2013
G-1.24;Schronisko Nietoperza;Region Świętokrzyski;Kielce (gm. miejska);Komunalny;2;0;0;0;0;613799.94;333966.04;692;2013
N-19Ex;Pustki podziemne w Posądzy;Niecka Nidziańska;Łoniów (gm. wiejska);;0;0;0;0;0;683790.67;301535.96;792;2013
N-2.20;Schronisko Niespodzianka w Wielkiej Górze;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Skarb Państwa;5;2.2;0;2.2;0;618755.1;285082.14;697;2013
J.Cz.III-04.05;Kocia Szczelina;Wyżyna Śląsko-Krakowska;Niegowa (gm. wiejska);Prywatny;15;6;0;6;0;533409.8;306826.11;3385;2013
N-2.19;Schronisko w Chotelku;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);Prywatny;3.5;0;0;0;0;618906.42;287124.35;696;2013
N-2.22;Schronisko przy Tunelu;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Skarb Państwa;6;0;1;1;0;618715.65;285081.26;699;2013
K.Bw-02.12;Jama nad Rowem;Karpaty;Dobra (gm. wiejska);Skarb Państwa (Lasy Państwowe);5;0;0;0;1;591185.88;204824.01;3258;2011
G-7.29;Schron Traperów;Region Świętokrzyski;Waśniów (gm. wiejska);Prywatny;2.5;0;1;1;0;661492.76;335476.93;902;2013
J.GT-01.02Ex;Schronisko przy Jaskini Mydlnickiej I;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;16;0;0;0;0;560087.25;247495.38;3327;2013
T.D-08.20;Schron pod Jaskinią Goryckiego;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6;0;0;0;0;563001.86;153955.93;1110;2010
T.D-08.16;Zbójnicka Nyża;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;15;3.7;0;3.7;0;563157.75;153882.08;1106;2010
T.D-13.06;Nyża w Siodłowej Turni;Tatry;Zakopane (gm. miejska);Skarb Państwa;13;0;1.4;1.4;0;567453.54;153876.97;1206;2010
T.D-11.03;Szczelina w Niedźwiedziu;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6;0;1.5;1.5;0;566137.53;153884.93;1199;2010
T.D-09.12;Dziura w Organach V;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4.5;0;0;0;0;563245.84;153688.49;1185;2010
T.D-04.05;Jaskinia Rybia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;358;0;6;6;0;559139.15;153570.45;983;2013
T.E-13.31;Mnichowy Korytarz;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;7;3.7;0;3.7;0;567455.16;153481.48;11058;2017
T.C-18.01;Nyża nad Olczyską I;Tatry;Zakopane (gm. miejska);Skarb Państwa;4;0;0;0;0;573056.21;155639.28;1066;2010
T.D-06.05;Schronisko Dudowe;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;7;0;0;0;0;560613.18;153374.95;1075;2010
T.D-12.02;Siwarowa Dziura;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;33;0;5.2;5.2;0;566534.35;153810.46;1207;2010
T.D-13.07;Nyża przy Starym Szlaku;Tatry;Zakopane (gm. miejska);Skarb Państwa;3.9;0;0;0;0;567434.15;153994.21;1208;2010
T.D-08.21;Lejek;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4.5;1.5;0;1.5;0;563154.31;153861;1111;2010
T.C-13.04;Kominek Giewontowy;Tatry;Zakopane (gm. miejska);Skarb Państwa;14.7;6;6;12;0;568067.42;154541.76;1050;2010
G-7.27;Rajska Brama;Region Świętokrzyski;Bliżyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);4.5;0.5;0;0.5;0;623227.7;358402.79;900;2013
T.D-10.09;Podwójna Szczelina;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;10;0;4.5;4.5;0;565107.61;153707.75;1195;2010
G-17Ex;Jaskinie na Kadzielni;Region Świętokrzyski;Kielce (gm. miejska);Komunalny;0;0;0;0;0;613741.99;333933.88;931;2013
T.D-13.08;Nyża nad Siodłem;Tatry;Zakopane (gm. miejska);Skarb Państwa;5.3;0;3.5;3.5;0;567505.52;153941.11;1209;2010
T.D-12.05;Jaskinia Błotna;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;28;2.7;0;2.7;0;566477.45;153694;1213;2010
T.D-14.03;Jaskinia Zawaliskowa w Długim Giewoncie;Tatry;Zakopane (gm. miejska);Skarb Państwa;51;4.9;1.7;6.6;0;568493.32;154275.13;1215;2010
T.B-13.01;Schron za Irgą;Tatry;Zakopane (gm. miejska);Skarb Państwa;4;0;0;0;0;567615.06;156094.57;1017;2010
J.Olk.I-09.43;Schronisko z Cegłami w Powroźnikowej;Wyżyna Śląsko-Krakowska;Jerzmanowice-Przeginia (gm. wiejska);Prywatny;6.8;0;3.1;3.1;0;547659.96;259440.32;11102;2017
G-5.6;Schronisko Górne nad Starym Piekłem;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);4;1;0;1;0;592489.52;330763.1;857;2013
T.E-08.66;Schron pod Zbójnicką Turnią;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;6.5;1.4;0;1.4;0;563131.35;152624.34;1043;2014
T.D-04.03;Kamienne Mleko;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;430;15.8;14.5;30.3;0;559012.37;153404.53;1069;2013
T.B-10.03;Szczelina Przysłopczańska;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;17;12.5;0;12.5;0;564552.19;155432.38;993;2010
G-8Ex;Jaskinia w Laskowej I;Region Świętokrzyski;Kielce (gm. miejska);Prywatny;170;15;3.5;18.5;0;608611.91;336171.85;922;2013
T.D-17.03;Jaskinia Korytarzowa;Tatry;Zakopane (gm. miejska);Skarb Państwa;18;0;0;0;0;571502.98;154343.69;1072;2013
K.Bż-05.32;Ucho Igielne;Karpaty;Zawoja (gm. wiejska);Skarb Państwa (Lasy Państwowe);7.5;0;0;0;1;546553.03;196259.54;10157;2015
J.Olk.I-01.02;Schronisko na Skraju Jury;Wyżyna Śląsko-Krakowska;Gołcza (gm. wiejska);Prywatny;25.6;2;0;2;0;563378.13;272724.21;10880;2014
J.Olk.I-01.34;Jaskinia ze Świetlikiem;Wyżyna Śląsko-Krakowska;Gołcza (gm. wiejska);Prywatny;24.5;3;0;3;0;566550.72;267577.87;10912;2014
G-1.41;Schronisko Pustułek;Region Świętokrzyski;Piekoszów (gm. miejsko-wiejska);Skarb Państwa;6.5;0;0;0;0;605183.69;333691.81;819;2013
K.Bż-05.33;Jaskinia Krupowa na Okrąglicy;Karpaty;Bystra-Sidzina (gm. wiejska);Skarb Państwa (Lasy Państwowe);18;3;0;3;1;547293.45;195751.56;10158;2015
J.Cz.III-06.90;Kopalnia Kalcytu nad Kuźnią I;Wyżyna Śląsko-Krakowska;Kroczyce (gm. wiejska);Prywatny;6;4;0;4;0;539435.71;302686.83;11367;2020
T.D-17.04;Jaskinia pod Szczytem;Tatry;Zakopane (gm. miejska);Skarb Państwa;28;0;14.5;14.5;0;571551.59;154258.18;1071;2013
T.B-17.01;Jaskinia w Cycku;Tatry;Zakopane (gm. miejska);Skarb Państwa;18;6;0;6;0;571113.5;155860.83;1031;2010
J.Olk.I-09.42;Schronisko z Wersalką w Powroźnikowej Skale;Wyżyna Śląsko-Krakowska;Jerzmanowice-Przeginia (gm. wiejska);Prywatny;12.2;4.5;0;4.5;0;547599.19;259365.67;11101;2017
T.D-17.14;Nyża pod Zawracikiem;Tatry;Zakopane (gm. miejska);Skarb Państwa;4.5;0;0;0;0;571620.86;154138.36;1264;2010
T.B-12.04;Jaskinia w Jatkach;Tatry;Zakopane (gm. miejska);Skarb Państwa;6;0.7;0;0.7;0;566989.75;155526.87;1012;2010
G-7.23;Płaska Jama w Skałkach Dalejowskich;Region Świętokrzyski;Bliżyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);3.5;0;0;0;0;623189.53;358370.98;896;2013
T.B-09.04;Dziura Stanikowa Wyżnia;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;13;0;0;0;0;564064.07;155897.28;970;2010
